model,fuelBurn,fuelPerSeat,maxDistance,minDistance
Antonov An-148 (241 nmi),4.23 kg/km (15.0 lb/mi),5.95 L/100 km (39.5 mpg‑US)[30],560,0
Antonov An-158 (241 nmi),4.34 kg/km (15.4 lb/mi),5.47 L/100 km (43.0 mpg‑US)[30],560,0
ATR 42-500,1.26 kg/km (4.5 lb/mi),3.15 L/100 km (75 mpg‑US)[31],560,0
ATR 72-500,1.42 kg/km (5.0 lb/mi),2.53 L/100 km (93 mpg‑US)[31],560,0
Beechcraft 1900D (226 nm),1.00 kg/km (3.56 lb/mi),6.57 L/100 km (35.8 mpg‑US)[32],560,0
Bombardier CRJ100,2.21 kg/km (7.83 lb/mi),5.50 L/100 km (42.8 mpg‑US)[33],560,0
Bombardier CRJ200,2.18 kg/km (7.73 lb/mi),5.43 L/100 km (43.3 mpg‑US)[33],560,0
Bombardier CRJ700,2.95 kg/km (10.47 lb/mi),5.25 L/100 km (44.8 mpg‑US)[33],560,0
Bombardier CRJ900,3.47 kg/km (12.31 lb/mi),4.91 L/100 km (47.9 mpg‑US)[33],560,0
Bombardier Dash 8 Q400,2.16 kg/km (7.7 lb/mi),3.46 L/100 km (68.0 mpg‑US)[34],560,0
Dornier 228,0.94 kg/km (3.3 lb/mi),6.22 L/100 km (37.8 mpg‑US)[35],560,0
Dornier 328,1.22 kg/km (4.3 lb/mi),4.76 L/100 km (49.4 mpg‑US)[36],560,0
Embraer Brasilia,0.92 kg/km (3.3 lb/mi),3.82 L/100 km (61.6 mpg‑US)[37],560,0
Saab 340,1.1 kg/km (3.9 lb/mi),4.29 L/100 km (54.8 mpg‑US)[38],560,0
Saab 2000,1.75 kg/km (6.2 lb/mi),4.39 L/100 km (53.6 mpg‑US)[39],560,0
Xian MA700,1.69 kg/km (6.0 lb/mi),2.71 L/100 km (87 mpg‑US)[40],560,0
Airbus A319neo,3.37 kg/km (11.94 lb/mi),2.92 L/100 km (80.6 mpg‑US)[41],1267,561
